"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","data"
"17","RT @CFNutri: Vamos juntos lutar para que a #PEC241, que agora é #PEC55 no Senado Federal não seja aprovada. #oPovoDecide <ed><U+00A0><U+00BD><ed><U+00BA><U+00AB><ed><U+00A0><U+00BD><ed><U+00BA><U+00AB><ed><U+00A0><U+00BD><ed><U+00BA><U+00AB>",FALSE,0,NA,2016-11-22 18:49:25,FALSE,NA,"801135515688927232",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CRNutri1",2,TRUE,FALSE,NA,NA,2016-11-22
"18","A Faculdade de Medicina da UFMG promove nesta quarta, 23, debate sobre impactos da #PEC55, com início às 10h [https://t.co/A2x0fZdJU2]",FALSE,0,NA,2016-11-22 18:46:25,FALSE,NA,"801134759736934401",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","extensaoufmg",0,FALSE,FALSE,NA,NA,2016-11-22
"19","RT @LindbergFarias: Está começando o tuitaço #oPovoDecide! Não dá para algo tão importante como a #PEC55 passar sem ouvir a população. Part…",FALSE,0,NA,2016-11-22 18:45:54,FALSE,NA,"801134630590148608",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edilene77",155,TRUE,FALSE,NA,NA,2016-11-22
"20","RT @HerbertLobo: Conforme relatório do Sen. @Eunicio a #PEC55 viabilizará, já em 2017, mais recursos para ... https://t.co/Ut1Cp7gjAW",FALSE,0,NA,2016-11-22 18:45:18,FALSE,NA,"801134475702714368",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","UrbesEleicao",1,TRUE,FALSE,NA,NA,2016-11-22
"21","Conforme relatório do Sen. @Eunicio a #PEC55 viabilizará, já em 2017, mais recursos para ... https://t.co/Ut1Cp7gjAW",FALSE,0,NA,2016-11-22 18:43:49,FALSE,NA,"801134104695676934",NA,"<a href=""http://ubersocial.com"" rel=""nofollow"">UberSocial for Android</a>","HerbertLobo",1,FALSE,FALSE,NA,NA,2016-11-22
"22","RT @redebrasilatual: Carina Vitral, da UNE: #PEC55 mata o Plano Nacional de Educação https://t.co/GPKmuiVct2 https://t.co/KrB3CqQpBC",FALSE,0,NA,2016-11-22 18:40:53,FALSE,NA,"801133365994856448",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","celiafantini1",3,TRUE,FALSE,NA,NA,2016-11-22
"23","RT @BohnGass: Ilegítimo e conivente c/ a corrupção, Temer ñ pode ter poder algum sobre o futuro do Brasil. #PEC55 #oPovoDecide",FALSE,0,NA,2016-11-22 18:39:25,FALSE,NA,"801132996464087040",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MLages",69,TRUE,FALSE,NA,NA,2016-11-22
"24","RT @enioverri: Quem paga o pato com a #PEC55 é o Povo. Não taxam grandes fortunas, o governo prefere tirar de quem tem menos #OPovoDecide",FALSE,0,NA,2016-11-22 18:38:53,FALSE,NA,"801132864020553729",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GeSilvino",93,TRUE,FALSE,NA,NA,2016-11-22
"25","RT @Zaga_Silos: 97% dos brasileiros apoiam a #Pec55",FALSE,0,NA,2016-11-22 18:38:16,FALSE,NA,"801132707568828417",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DEMOCRATABR",2,TRUE,FALSE,NA,NA,2016-11-22
"26","RT @redebrasilatual: Carina Vitral, da UNE: #PEC55 mata o Plano Nacional de Educação https://t.co/GPKmuiVct2 https://t.co/KrB3CqQpBC",FALSE,0,NA,2016-11-22 18:38:14,FALSE,NA,"801132697699708928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","EDUARDOSOPHOS",3,TRUE,FALSE,NA,NA,2016-11-22
