"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","data"
"1941","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:28:13,FALSE,NA,"796434236773433352",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","quaseanderson",57,TRUE,FALSE,NA,NA,2016-11-09
"1942","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:28:09,FALSE,NA,"796434218704371712",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aylaass",57,TRUE,FALSE,NA,NA,2016-11-09
"1943","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:27:58,FALSE,NA,"796434173699489792",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","estudandoconcur",57,TRUE,FALSE,NA,NA,2016-11-09
"1944","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:27:46,FALSE,NA,"796434120939278336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","danilowiski",57,TRUE,FALSE,NA,NA,2016-11-09
"1945","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:27:45,FALSE,NA,"796434117978161154",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","___DENISE___EU_",57,TRUE,FALSE,NA,NA,2016-11-09
"1946","CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plenário",FALSE,0,NA,2016-11-09 19:27:44,FALSE,NA,"796434115839016960",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","cleuberdacunha",0,FALSE,FALSE,NA,NA,2016-11-09
"1947","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:27:42,FALSE,NA,"796434104120180737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","a1rtonclaudio",57,TRUE,FALSE,NA,NA,2016-11-09
"1948","RT @SenadoFederal: CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plen…",FALSE,0,NA,2016-11-09 19:27:17,FALSE,NA,"796434001607196678",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","karinaholanda9",57,TRUE,FALSE,NA,NA,2016-11-09
"1949","RT @lidicedamata: Estudantes protestam agora no @SenadoFederal contra #PEC55 e #ReformaEnsinoMedio https://t.co/um9xuARFVB",FALSE,0,NA,2016-11-09 19:27:14,FALSE,NA,"796433987250094093",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","castrofor",76,TRUE,FALSE,NA,NA,2016-11-09
"1950","CCJ aprova por 19 votos a favor e 7 contra a #PEC55 que limita gastos do governo por 20 anos. Proposta segue para o Plenário",FALSE,39,NA,2016-11-09 19:26:54,FALSE,NA,"796433905234497536",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","SenadoFederal",57,FALSE,FALSE,NA,NA,2016-11-09
"1951","RT @lidicedamata: Estudantes protestam agora no @SenadoFederal contra #PEC55 e #ReformaEnsinoMedio https://t.co/um9xuARFVB",FALSE,0,NA,2016-11-09 19:26:15,FALSE,NA,"796433738813112320",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MarcianoBrito13",76,TRUE,FALSE,NA,NA,2016-11-09
"1952","RT @lidicedamata: Estudantes protestam agora no @SenadoFederal contra #PEC55 e #ReformaEnsinoMedio https://t.co/um9xuARFVB",FALSE,0,NA,2016-11-09 19:26:08,FALSE,NA,"796433713513037825",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","resonances",76,TRUE,FALSE,NA,NA,2016-11-09
"1953","RT @lidicedamata: Estudantes protestam agora no @SenadoFederal contra #PEC55 e #ReformaEnsinoMedio https://t.co/um9xuARFVB",FALSE,0,NA,2016-11-09 19:25:42,FALSE,NA,"796433602443673603",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M5)</a>","ritaleeparanoic",76,TRUE,FALSE,NA,NA,2016-11-09
"1954","Estudantes protestam agora no @SenadoFederal contra #PEC55 e #ReformaEnsinoMedio https://t.co/um9xuARFVB",FALSE,97,NA,2016-11-09 19:25:14,FALSE,NA,"796433483518377984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","lidicedamata",76,FALSE,FALSE,NA,NA,2016-11-09
"1955","RT @HelenaFavorito: Aprovado o relatório da PEC 55. Muito bem. @SenadoFederal #PEC55",FALSE,0,NA,2016-11-09 19:24:33,FALSE,NA,"796433312839593984",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","gabriel50898835",1,TRUE,FALSE,NA,NA,2016-11-09
"1956","presente de natal adiantado.
texto da #PEC241 aka #PEC55 deve ser votado em primeiro turno no plenário em 29/11 e e… https://t.co/H8Jbw9NqNJ",FALSE,0,NA,2016-11-09 19:23:55,TRUE,NA,"796433152952696838",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","abacaleinick",0,FALSE,FALSE,NA,NA,2016-11-09
"1957","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:23:38,FALSE,NA,"796433081087492098",NA,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","MarinesMoura",39,TRUE,FALSE,NA,NA,2016-11-09
"1958","Aprovado o relatório da PEC 55. Muito bem. @SenadoFederal #PEC55",FALSE,1,NA,2016-11-09 19:20:41,FALSE,NA,"796432341010972672",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","HelenaFavorito",1,FALSE,FALSE,NA,NA,2016-11-09
"1959","Encaminhado ao Plenário. Parecer favorável a esta merda de #PEC241 #PEC55",FALSE,0,NA,2016-11-09 19:19:13,FALSE,NA,"796431970800697346",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MandyBarros_",0,FALSE,FALSE,NA,NA,2016-11-09
"1960","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:17:12,FALSE,NA,"796431462815805440",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marianakorbes",39,TRUE,FALSE,NA,NA,2016-11-09
"1961","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:16:42,FALSE,NA,"796431338194640896",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ZubiZubiYe",39,TRUE,FALSE,NA,NA,2016-11-09
"1962","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:16:15,FALSE,NA,"796431224063557632",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlvaroKlein1970",39,TRUE,FALSE,NA,NA,2016-11-09
"1963","#PEC55 antiga #PEC241 aprovada em mais uma votação. E o assunto do dia é... 
#pecdofimdomundo",FALSE,1,NA,2016-11-09 19:15:57,FALSE,NA,"796431148683558912",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mairamairocas",0,FALSE,FALSE,NA,NA,2016-11-09
"1964","RT @depPedroruas: A CCJ acabou de APROVAR a #PEC55 que CONGELA INVESTIMENTOS em SAÚDE e EDUCAÇÃO por 20 ANOS.
A votação vai a plenário dia…",FALSE,0,NA,2016-11-09 19:15:40,FALSE,NA,"796431078089068544",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","putsnao",39,TRUE,FALSE,NA,NA,2016-11-09
